created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location
Tue Dec 05 15:14:29 +0000 2023,1732055850208915628,#BTS:  my home ♡ https://t.co/g2Nd02rp6S,1,0,4,18,en,1652008156694708225,1732055850208915628,jeonarmybangtan,https://twitter.com/jeonarmybangtan/status/1732055850208915628,https://pbs.twimg.com/ext_tw_video_thumb/1732033318722654208/pu/img/ANDBxKeaVNjEuQBo.jpg,𝐁𝐀𝐍𝐆𝐓𝐀𝐍 
Tue Dec 05 13:01:00 +0000 2023,1732022258904785058,WE WILL WAIT FOR YOU #BTS 💜 2025 https://t.co/ssDRh9BrzY,0,0,31,48,en,612077828,1732022258904785058,imayzsp,https://twitter.com/imayzsp/status/1732022258904785058,https://pbs.twimg.com/media/GAlhAgdbkAAcy-m.jpg,REPUBLIC OF THAILAND
Tue Dec 05 10:12:24 +0000 2023,1731979828042322174,BTS' V will be starring in IU's comeback music video!  #BTSV #KIMTAEHYUNG #IU #KimTaehyung #BTS  https://t.co/WwCUOonodD,0,0,37,108,en,1673356867425439748,1731979828042322174,KPopnewswire,https://twitter.com/KPopnewswire/status/1731979828042322174,,
Sun Dec 03 16:21:03 +0000 2023,1731347825471222020,This clip reminded me of that time the staff gave #BTS feedback about their performance and #jhope just listened attentively and simply said  “let’s fix it.” The next morning  the man has a complete analysis prepared. True leadership in action! https://t.co/9iKhkJdvVf,3,6,137,421,en,1646766542259097602,1731347825471222020,hoseokiepedia,https://twitter.com/hoseokiepedia/status/1731347825471222020,https://pbs.twimg.com/ext_tw_video_thumb/1705092772510994433/pu/img/6nzFIXpbfKFhFaBo.jpg,
Tue Dec 05 21:05:00 +0000 2023,1732144060482117664,already missing #BTS but we will wait for you in 2025 💜,336,335,2093,7830,en,880142286176231425,1732144060482117664,youtubemusic,https://twitter.com/youtubemusic/status/1732144060482117664,,
Wed Nov 29 14:40:11 +0000 2023,1729872893583258080,[SCAN] BTS PERMISSION TO DANCE ON STAGE in THE US PhotoBook - LA (1) #JK #정국 #JUNGKOOK #BTS #방탄소년단 https://t.co/hmXulS69qj,22,4,1191,4350,en,1324060291903057920,1729872893583258080,amabile_suga,https://twitter.com/amabile_suga/status/1729872893583258080,https://pbs.twimg.com/media/GAG-LHFa4AA7_mo.jpg,
Thu Nov 30 00:51:48 +0000 2023,1730026808920400357,"Take Two"" by #BTS has surpassed 55 Million streams on MelOn! 🇰🇷 https://t.co/l3rxuHjYIR""",0,0,499,1432,en,1647085592147292161,1730026808920400357,Bangtan7_Stream,https://twitter.com/Bangtan7_Stream/status/1730026808920400357,https://pbs.twimg.com/media/GAJKNc9X0AA7PN-.jpg,1 Admin (ia)
Wed Dec 06 08:42:36 +0000 2023,1732319618679906390,#BTS' #V &amp; #BLACKPINK's #Jennie reportedly break up https://t.co/vGlJ73dVd5,986,416,398,2087,en,21366823,1732319618679906390,allkpop,https://twitter.com/allkpop/status/1732319618679906390,,Worldwide
Thu Nov 30 12:43:55 +0000 2023,1730206019228455182,[SCAN]   BTS PERMISSION TO DANCE  ON STAGE in THE US  PhotoBook - LA (3)  #BTS #방탄소년단 https://t.co/TFwT3T1Aa3,49,6,2650,10062,en,1324060291903057920,1730206019228455182,amabile_suga,https://twitter.com/amabile_suga/status/1730206019228455182,https://pbs.twimg.com/media/GALsgqhbQAA5XJR.jpg,
Tue Dec 05 14:46:13 +0000 2023,1732048737491636320,[SCAN] BTS PERMISSION TO DANCE ON STAGE in THE US PhotoBook - LA (8) #지민 #JIMIN #BTS #방탄소년단 https://t.co/mElcxT0qcJ,7,0,807,2482,en,1324060291903057920,1732048737491636320,amabile_suga,https://twitter.com/amabile_suga/status/1732048737491636320,https://pbs.twimg.com/media/GAl5HZcbMAExhWq.jpg,
Wed Dec 06 06:02:32 +0000 2023,1732279334776525276,#BTS #JIN #BTSARMY  OMG BTS JIN MENTIONED US IN HIS VIDEO!!💜 (Wait for the speech at the end)  Go on and learn Korean with BTS📚💜 https://t.co/L5oohi2BHS https://t.co/WeOqIL0LjS,6,1,292,1103,en,1290950071391928321,1732279334776525276,cake_x_official,https://twitter.com/cake_x_official/status/1732279334776525276,https://pbs.twimg.com/ext_tw_video_thumb/1732278165601718272/pu/img/_qw074VOZWjfIuU4.jpg,
